case_id,policy,pod,phase,annotation
3,spread,dqn-better-3-spread-corehi-2-0,Failed,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
3,spread,dqn-better-3-spread-memhi-1-0,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
3,spread,dqn-better-3-spread-pair-0-0,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
3,spread,dqn-better-3-spread-pair-0-1,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
3,spread,dqn-better-3-spread-pair-0-2,Failed,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
3,binpack,dqn-better-3-binpack-corehi-2-0,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
3,binpack,dqn-better-3-binpack-memhi-1-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
3,binpack,dqn-better-3-binpack-pair-0-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
3,binpack,dqn-better-3-binpack-pair-0-1,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
3,binpack,dqn-better-3-binpack-pair-0-2,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
3,original,dqn-better-3-original-corehi-2-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
3,original,dqn-better-3-original-memhi-1-0,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
