repeat,policy,expected,allocated,running,used_gpus,mem_range,core_range,slice_range,intra_gap,balance_score,gpu_usage
3,spread,10,10,10,4,12000.0,45.0,1,0.28851978505129455,1.2270395701025891,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 55.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 65.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 100.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 60.0, ""mem"": 20000.0, ""slices"": 2}}"
3,binpack,10,10,10,4,16000.0,40.0,1,0.1942598925256473,1.2456196059273734,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 55.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 55.0, ""mem"": 8000.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 75.0, ""mem"": 16000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 95.0, ""mem"": 24000.0, ""slices"": 3}}"
3,original,10,10,10,4,16000.0,45.0,3,0.28783992835043154,1.3891996417521577,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 55.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 100.0, ""mem"": 20000.0, ""slices"": 4}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 65.0, ""mem"": 8000.0, ""slices"": 1}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 60.0, ""mem"": 20000.0, ""slices"": 2}}"
3,random,10,10,10,4,12000.0,80.0,2,0.3878399283504315,1.676359713401726,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 20.0, ""mem"": 20000.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 75.0, ""mem"": 24000.0, ""slices"": 4}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 100.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 85.0, ""mem"": 16000.0, ""slices"": 2}}"
3,dqn-job,10,10,10,4,12000.0,35.0,2,0.03851978505129455,0.877039570102589,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 80.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 65.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 85.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 50.0, ""mem"": 12000.0, ""slices"": 1}}"
4,spread,10,10,10,4,12000.0,60.0,1,0.3878399283504315,1.476359713401726,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 40.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 55.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 85.0, ""mem"": 16000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 100.0, ""mem"": 12000.0, ""slices"": 2}}"
4,binpack,10,10,10,4,16000.0,40.0,1,0.1942598925256473,1.2456196059273734,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 55.0, ""mem"": 8000.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 55.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 95.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 75.0, ""mem"": 16000.0, ""slices"": 2}}"
4,original,10,10,10,4,12000.0,50.0,3,0.1807401074743527,1.1692598925256472,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 100.0, ""mem"": 20000.0, ""slices"": 4}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 55.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 50.0, ""mem"": 12000.0, ""slices"": 1}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 75.0, ""mem"": 16000.0, ""slices"": 2}}"
4,random,10,10,10,4,12000.0,60.0,1,0.28851978505129455,1.377039570102589,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 40.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 45.0, ""mem"": 16000.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 95.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 100.0, ""mem"": 12000.0, ""slices"": 2}}"
4,dqn-job,10,10,10,4,12000.0,35.0,2,0.03851978505129455,0.877039570102589,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 65.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 80.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 50.0, ""mem"": 12000.0, ""slices"": 1}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 85.0, ""mem"": 24000.0, ""slices"": 3}}"
5,spread,10,10,10,4,4000.0,20.0,1,0.08209982087607881,0.44493974922651036,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 65.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 60.0, ""mem"": 20000.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 75.0, ""mem"": 16000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 80.0, ""mem"": 20000.0, ""slices"": 3}}"
5,binpack,10,10,10,4,12000.0,70.0,1,0.28851978505129455,1.4770395701025891,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 30.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 95.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 100.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 55.0, ""mem"": 24000.0, ""slices"": 3}}"
5,original,10,10,10,4,16000.0,50.0,3,0.19493974922651033,1.3462994626282363,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 75.0, ""mem"": 24000.0, ""slices"": 4}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 95.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 65.0, ""mem"": 8000.0, ""slices"": 1}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 45.0, ""mem"": 16000.0, ""slices"": 2}}"
5,random,10,10,10,4,12000.0,70.0,1,0.28851978505129455,1.4770395701025891,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 30.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 95.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 100.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 55.0, ""mem"": 24000.0, ""slices"": 3}}"
5,dqn-job,10,10,10,4,12000.0,35.0,2,0.03851978505129455,0.877039570102589,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 65.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 50.0, ""mem"": 12000.0, ""slices"": 1}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 85.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 80.0, ""mem"": 20000.0, ""slices"": 3}}"
